Team,O-down_3rd_Att,O-down_3rd_Md,O-down_4th_Att,O-down_4th_Md,O-down_Rec_1st,O-down_Rec_1st%,O-down_Rush_1st,O-down_Rush_1st%,O-down_Scrm_Plys,Year
Jets,213,74,11,4,173,55.8,90,20.3,1030,2011
Lions,212,76,14,8,244,57.7,71,19.9,1058,2011
Niners,221,65,14,9,150,54.2,101,20.3,993,2011
Packers,189,91,8,4,230,61.2,89,22.5,988,2011
Panthers,185,75,10,6,175,56.1,139,31.2,999,2011
Patriots,194,89,11,7,262,65.2,107,24.4,1082,2011
Raiders,199,71,13,7,186,59,110,23.6,1015,2011
Rams,228,64,23,8,159,54.4,79,19.3,1013,2011
Ravens,229,97,7,4,181,57.6,98,21.4,1036,2011
Redskins,219,81,13,4,204,59,79,19.8,1032,2011
Saints,208,118,10,3,280,59.3,116,26.9,1117,2011
Seahawks,228,77,15,7,153,51.2,89,20,1003,2011
Steelers,196,90,8,3,221,64.8,96,22.1,1015,2011
Texans,224,93,11,3,176,61.1,130,23.8,1046,2011
Titans,218,80,14,10,185,52.4,71,18.9,984,2011
Vikings,216,83,18,7,159,55.6,118,26.3,1007,2011
Bears,195,64,7,2,163,59.1,76,18.4,936,2010
Bengals,224,87,19,13,205,56.2,85,19.9,1046,2010
Bills,211,80,24,11,166,56.1,82,20.4,954,2010
Broncos,207,67,19,6,204,61.1,81,20.4,1018,2010
Browns,202,75,7,5,154,52,87,21.1,927,2010
Buccaneers,211,89,14,10,172,56.2,97,22.5,955,2010
Cardinals,209,58,18,7,153,53.7,65,20.3,931,2010
Chargers,205,92,13,5,236,65.7,94,20.6,1039,2010
Chiefs,226,83,23,10,167,61,129,23.2,1063,2010
Colts,204,91,8,5,253,56.2,87,22.1,1088,2010
Cowboys,211,86,22,13,201,53,104,24.3,1035,2010
Dolphins,230,92,10,3,189,56.4,91,20.4,1040,2010
Eagles,214,85,13,9,188,54,116,27.1,1038,2010
Falcons,240,112,15,11,199,55.1,111,22.3,1097,2010
Giants,206,74,11,3,192,56.6,111,23.1,1035,2010
Jaguars,203,81,25,16,161,55.3,148,28.9,1019,2010
Jets,235,93,14,5,171,59.4,118,22.1,1087,2010
Lions,242,97,16,10,199,52,83,20.5,1064,2010
Niners,213,68,16,8,149,52.8,85,21.2,945,2010
Packers,205,85,13,5,204,58,88,20.9,1000,2010
Panthers,227,69,23,10,125,48.8,78,18.2,962,2010
Patriots,197,95,14,7,196,59.2,119,26.2,986,2010
Raiders,220,75,20,8,159,57,113,22.4,1039,2010
Rams,235,78,15,8,179,50.6,84,19.6,1053,2010
Ravens,210,82,10,4,175,56.8,97,19.9,1018,2010
Redskins,208,61,12,6,194,55.6,72,20.5,1002,2010
Saints,217,106,11,5,236,52.4,94,24.7,1067,2010
